id,host_response_rate,neighbourhood,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,review_scores_rating
12226905,1,La Jolla,92037,Cottage,Entire home/apt,2,1,1,1,190,48,99
3861880,1,Mission Beach,92109,Townhouse,Entire home/apt,8,3,3,5,340,21,86
33190732,1,La Jolla,92037,Apartment,Entire home/apt,4,1,1,2,205,9,96
16396060,1,Hillcrest,92103,House,Entire home/apt,10,4,5,5,550,29,100
17106495,1,Hillcrest,92103,Condominium,Private room,2,1,1,1,75,52,96
20678906,0.86,Mission Beach,92109,Townhouse,Entire home/apt,6,3,3,4,398,38,98
32327687,1,Mira Mesa,92126,Apartment,Private room,2,1,1,1,55,15,99
10057737,0.97,La Jolla,92037,Condominium,Entire home/apt,5,2,2,2,278,37,97
28009220,1,North City,92130,Apartment,Private room,2,1,1,1,55,35,97
20531565,1,Jamacha Lomita,92114,House,Entire home/apt,15,2,5,10,238,8,100
7745094,1,Hillcrest,92103,House,Entire home/apt,6,2,3,4,425,61,97
4404394,1,Point Loma Heights,92107,Guest suite,Entire home/apt,3,1,1,1,84,176,98
19590885,1,Bay Park,92110,Cottage,Entire home/apt,6,1,2,3,199,132,98
1873103,1,Mission Beach,92109,Townhouse,Entire home/apt,8,2.5,2,6,300,15,95
40286793,1,Cortez,92101,Condominium,Entire home/apt,6,2,2,3,115,2,100
27466340,1,Carmel Valley,92130,Bungalow,Entire home/apt,10,4.5,5,5,950,4,100
28939031,1,Rancho Penasquitos,92129,Villa,Private room,2,1,1,1,85,35,99
13242164,0.92,Gaslamp,92101,Apartment,Entire home/apt,4,1,0,2,149,119,91
11364313,0.92,Gaslamp,92101,Apartment,Entire home/apt,4,1,1,2,117,181,95
13005652,1,Mission Beach,92109,House,Entire home/apt,6,2,2,3,237,12,92
17975924,1,La Jolla,92037,House,Entire home/apt,8,2,4,4,969,2,90
9369225,0.99,Pacific Beach,92109,Apartment,Entire home/apt,8,2,3,4,280,25,91
36308639,1,Jamacha Lomita,92114,House,Private room,2,1,1,1,50,17,95
15760067,0.97,North Park,92103,Apartment,Entire home/apt,6,1,2,2,139,28,87
34180063,0.99,Pacific Beach,92109,House,Entire home/apt,8,3,3,5,458,10,98
24329405,0.63,University City,92121,Cottage,Entire home/apt,4,1,2,2,130,3,93
36275868,1,Encanto,92114,House,Private room,2,1.5,1,1,60,6,100
